package_segment,module_candidate
__root__,app-config
action,adapter-action
agent,agent-control
api,api
assignment,task-orchestration
callback,execution-control
config,app-config
security,app-config
decision,event-processing
dedup,event-processing
dispatch,execution-control
event,foundation-contracts
fingerprint,event-processing
gateway,agent-control
incident,incident-management
infrastructure,infrastructure
lifecycle,lifecycle-control
normalize,event-processing
observability,observability
routing,task-orchestration
store,infrastructure
summary,incident-management
task,task-orchestration
kernel,foundation-kernel
contracts,foundation-contracts
dbsupport,foundation-db-support
processing,event-processing
events,foundation-contracts
outbox,domain-events
integration,integration-events
database,database-platform
runtime,app-config
offer,task-orchestration
executionattempt,task-orchestration
timeline,observability
