table_name,owner_module,repository_contract
incidents,incident,com.opensocket.aievent.core.incident.IncidentRepository
incident_occurrence_summary,incident,com.opensocket.aievent.core.summary.IncidentOccurrenceSummaryRepository
event_dedup_state,event-processing,com.opensocket.aievent.core.dedup.snapshot.DedupStateSnapshotRepository
event_decisions,event-processing,com.opensocket.aievent.core.decision.EventDecisionRepository
agents,agent-control,com.opensocket.aievent.core.agent.AgentDirectoryRepository
gateway_nodes,agent-control,com.opensocket.aievent.core.gateway.GatewayNodeRepository
tasks,task-orchestration,com.opensocket.aievent.core.task.TaskRepository
routing_decisions,task-orchestration,com.opensocket.aievent.core.routing.RoutingDecisionRepository
task_assignments,task-orchestration,com.opensocket.aievent.core.assignment.TaskAssignmentRepository
dispatch_requests,execution-control,com.opensocket.aievent.core.dispatch.DispatchRequestRepository
task_callbacks,execution-control,com.opensocket.aievent.core.callback.TaskCallbackRepository
adapter_actions,adapter-action,com.opensocket.aievent.core.action.AdapterActionRepository
adapter_executor_audit,adapter-action,com.opensocket.aievent.core.action.executor.audit.AdapterExecutorAuditRepository
module_outbox_events,domain-events,com.opensocket.aievent.core.outbox.OutboxEventRepository
integration_event_outbox,integration-events,com.opensocket.aievent.core.integration.IntegrationEventRepository
dispatch_operation_profiles,task-orchestration,com.opensocket.aievent.core.routing.governance.DispatchOperationProfileRepository
dispatch_operation_profile_operations,task-orchestration,com.opensocket.aievent.core.routing.governance.DispatchOperationProfileRepository
source_system_dispatch_defaults,task-orchestration,com.opensocket.aievent.core.routing.governance.SourceSystemDispatchDefaultRepository
agent_source_assignments,task-orchestration,com.opensocket.aievent.core.routing.governance.AgentSourceAssignmentRepository
task_requirement_evidence,task-orchestration,com.opensocket.aievent.core.routing.governance.TaskRequirementEvidenceRepository
task_requirement_shadow_comparisons,task-orchestration,com.opensocket.aievent.core.enforce.EnforceOperationsRepository
task_agent_eligibility_shadow_comparisons,task-orchestration,com.opensocket.aievent.core.enforce.EnforceOperationsRepository
task_agent_routing_shadow_comparisons,task-orchestration,com.opensocket.aievent.core.enforce.EnforceOperationsRepository
dispatch_data_migration_runs,task-orchestration,com.opensocket.aievent.core.routing.governance.migration.DispatchDataMigrationRepository
dispatch_data_migration_items,task-orchestration,com.opensocket.aievent.core.routing.governance.migration.DispatchDataMigrationRepository
dispatch_data_provenance,task-orchestration,com.opensocket.aievent.core.routing.governance.migration.DispatchDataMigrationRepository
action_catalog,task-orchestration,com.opensocket.aievent.core.routing.governance.action.ActionGovernanceRepository
agent_action_grants,task-orchestration,com.opensocket.aievent.core.routing.governance.action.ActionGovernanceRepository
proposed_actions,task-orchestration,com.opensocket.aievent.core.routing.governance.action.ActionGovernanceRepository
action_approval_requests,task-orchestration,com.opensocket.aievent.core.routing.governance.action.ActionGovernanceRepository
action_approval_decisions,task-orchestration,com.opensocket.aievent.core.routing.governance.action.ActionGovernanceRepository
effectful_action_task_links,task-orchestration,com.opensocket.aievent.core.routing.governance.action.ActionGovernanceRepository
effectful_action_evidence,task-orchestration,com.opensocket.aievent.core.routing.governance.action.ActionGovernanceRepository
effectful_action_callback_receipts,task-orchestration,com.opensocket.aievent.core.routing.governance.action.ActionGovernanceRepository
effectful_action_manual_cases,task-orchestration,com.opensocket.aievent.core.routing.governance.action.ActionGovernanceRepository
dispatch_cutover_policies,task-orchestration,com.opensocket.aievent.core.routing.cutover.DispatchCutoverRepository
dispatch_cutover_task_decisions,task-orchestration,com.opensocket.aievent.core.routing.cutover.DispatchCutoverRepository
dispatch_cutover_outcomes,task-orchestration,com.opensocket.aievent.core.routing.cutover.DispatchCutoverRepository
dispatch_operator_incidents,task-orchestration,com.opensocket.aievent.core.enforce.EnforceOperationsRepository
dispatch_release_artifacts,task-orchestration,com.opensocket.aievent.core.enforce.EnforceOperationsRepository
